"Incident ID","IncidentDate","Month-Year","Year","State","City Or County","Address","Region","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested"
2743289,"30-Oct-2023","Oct-2023",2023,"Minnesota","Minneapolis","901 Cedar Ave","Midwest",0,4,0,0,0
2743711,"29-Oct-2023","Oct-2023",2023,"North Carolina","Wilson","2331 US-301 S","South",0,4,0,0,0
2742403,"29-Oct-2023","Oct-2023",2023,"Kansas","Dodge City","207 E Wyatt Earp Blvd","Midwest",2,2,0,0,1
2742012,"29-Oct-2023","Oct-2023",2023,"Indiana","Indianapolis","5172 E 65th St","Midwest",1,9,0,0,0
2742160,"29-Oct-2023","Oct-2023",2023,"Georgia","Atlanta","120 Piedmont Ave NE","South",0,4,0,0,0
2743269,"29-Oct-2023","Oct-2023",2023,"Mississippi","Wiggins","195 Old Hwy 49 S","South",1,3,0,0,0
2742030,"29-Oct-2023","Oct-2023",2023,"Florida","Tampa","1600 block of E 7th Ave","South",2,15,0,0,1
2742143,"29-Oct-2023","Oct-2023",2023,"Illinois","Chicago","1258 S Pulaski Rd","Midwest",0,15,0,0,1
2743031,"29-Oct-2023","Oct-2023",2023,"California","Azusa","5400 block of N Banewell Ave","West",0,4,0,0,0
2742231,"28-Oct-2023","Oct-2023",2023,"Louisiana","Lake Charles","Bruce Dr and Opelousas St","South",0,6,0,0,1
2742572,"28-Oct-2023","Oct-2023",2023,"New Mexico","Las Cruces","3000 block of Dyer St","West",0,7,0,0,0
2741772,"28-Oct-2023","Oct-2023",2023,"Maryland","Cumberland","20 S Mechanic St","South",1,3,0,0,0
2742414,"28-Oct-2023","Oct-2023",2023,"Georgia","Decatur","3300 block of Glenwood Rd","South",0,4,0,0,0
2742471,"28-Oct-2023","Oct-2023",2023,"California","Chula Vista","2015 Birch Rd","West",0,4,0,0,0
2741949,"28-Oct-2023","Oct-2023",2023,"Texas","Texarkana","700 block of N Stateline Ave","South",3,3,0,0,0
2741453,"28-Oct-2023","Oct-2023",2023,"Illinois","Chicago","2000 block of N Lorel Ave","Midwest",0,4,0,0,0
2741490,"27-Oct-2023","Oct-2023",2023,"Ohio","Mansfield","810 Ferndale Rd","Midwest",2,4,0,0,0
2739575,"26-Oct-2023","Oct-2023",2023,"North Carolina","Clinton","10310 Garland Hwy","South",5,0,0,0,0
2738185,"25-Oct-2023","Oct-2023",2023,"Maine","Lewiston","24 Mollison Way","Northeast",18,13,1,0,0
2737798,"24-Oct-2023","Oct-2023",2023,"North Carolina","Greenville","1500 SW Greenville Blvd","South",1,3,0,0,2
2736792,"23-Oct-2023","Oct-2023",2023,"Illinois","Chicago","6140 S Justine St","Midwest",1,3,0,0,0
2737647,"23-Oct-2023","Oct-2023",2023,"Colorado","Durango","149 S Camino del Rio","West",1,3,0,0,3
2735403,"22-Oct-2023","Oct-2023",2023,"Louisiana","Alexandria","1900 block of Kelly St","South",0,4,0,0,0
2735504,"22-Oct-2023","Oct-2023",2023,"Mississippi","Meridian","2409 5th St","South",1,3,0,0,0
2735299,"22-Oct-2023","Oct-2023",2023,"Arkansas","Pine Bluff","200 University Dr","South",1,3,0,0,4
2735026,"21-Oct-2023","Oct-2023",2023,"Texas","College Station","2501 Texas Ave S","South",0,4,0,0,1
2735343,"21-Oct-2023","Oct-2023",2023,"Texas","Borger","718 N Main St","South",1,3,0,0,1
2735073,"21-Oct-2023","Oct-2023",2023,"California","Santa Maria","1000 block of N School St","West",1,3,0,0,0
2735271,"21-Oct-2023","Oct-2023",2023,"North Carolina","Fayetteville","1520 Slater Ave","South",1,3,0,0,1
2735260,"21-Oct-2023","Oct-2023",2023,"California","Oakley","487 Shannon Way","West",1,3,0,0,1
2735817,"21-Oct-2023","Oct-2023",2023,"Louisiana","Monroe","3100 block of Renwick St","South",1,5,0,0,0
2734098,"20-Oct-2023","Oct-2023",2023,"Nebraska","Lincoln","13th St and O St","Midwest",0,4,0,0,0
2733549,"19-Oct-2023","Oct-2023",2023,"Washington","Toppenish","200 block of Pearne St","West",3,1,1,0,0
2733136,"18-Oct-2023","Oct-2023",2023,"Ohio","Columbus","200 block of Winner Ave","Midwest",0,4,0,0,1
2732484,"17-Oct-2023","Oct-2023",2023,"Georgia","Augusta","2 Greene St","South",0,4,0,0,0
2731511,"16-Oct-2023","Oct-2023",2023,"Maryland","Severn","1159 Reece Rd","South",0,4,0,0,0
2731681,"16-Oct-2023","Oct-2023",2023,"California","Los Angeles","4410 Lankershim Blvd","West",3,1,0,0,0
2731021,"15-Oct-2023","Oct-2023",2023,"South Carolina","Barnwell","Quail Rd and Patterson Rd","South",1,5,0,0,0
2730602,"15-Oct-2023","Oct-2023",2023,"Minnesota","Minneapolis","400 block of N 3rd Ave","Midwest",0,4,0,0,0
2729845,"14-Oct-2023","Oct-2023",2023,"Colorado","Denver","12445 E 39th Ave","West",3,3,0,0,0
2730782,"13-Oct-2023","Oct-2023",2023,"Mississippi","Cleveland","1823 S Chrisman Ave","South",2,2,0,0,1
2729811,"13-Oct-2023","Oct-2023",2023,"Missouri","Kansas City","E 10th St and Indiana Ave","Midwest",0,5,0,0,0
2728246,"12-Oct-2023","Oct-2023",2023,"Minnesota","Princeton","225 190th Ave NE","Midwest",0,5,0,1,1
2727876,"10-Oct-2023","Oct-2023",2023,"Wisconsin","Madison","116 Milky Way","Midwest",1,3,0,0,0
2725771,"8-Oct-2023","Oct-2023",2023,"Illinois","Chicago","316 W Erie St","Midwest",0,8,0,0,0
2725838,"8-Oct-2023","Oct-2023",2023,"Pennsylvania","Indiana","640 N 5th Ave","Northeast",1,8,0,0,0
2726444,"8-Oct-2023","Oct-2023",2023,"Louisiana","Gonzales","616 N Tobey Ave","South",0,4,0,0,0
2725206,"7-Oct-2023","Oct-2023",2023,"Illinois","Chicago","5012 N Winthrop Ave","Midwest",0,4,0,0,0
2725669,"7-Oct-2023","Oct-2023",2023,"California","Inglewood","3333 W Manchester Blvd","West",2,3,0,0,0
2725422,"6-Oct-2023","Oct-2023",2023,"Nevada","Reno","10640 N McCarran Blvd","West",0,7,0,0,0
2725126,"6-Oct-2023","Oct-2023",2023,"South Carolina","Florence","1100 block of Oakland Ave","South",0,4,0,0,0
2725133,"6-Oct-2023","Oct-2023",2023,"District of Columbia","Washington","100 block of Quincy Pl NE","South",0,5,0,0,0
2723247,"4-Oct-2023","Oct-2023",2023,"Pennsylvania","Philadelphia","7500 block of Whitaker Ave","Northeast",0,4,1,0,0
2723237,"4-Oct-2023","Oct-2023",2023,"Minnesota","Saint Paul","1200 block of Hazelwood St","Midwest",1,3,0,0,0
2723347,"4-Oct-2023","Oct-2023",2023,"California","Los Angeles","S Central Ave and E 90th St","West",1,4,0,0,0
2722363,"3-Oct-2023","Oct-2023",2023,"Maryland","Baltimore","1800 Argonne Dr","South",0,5,0,0,1
2720893,"2-Oct-2023","Oct-2023",2023,"Pennsylvania","Philadelphia","6115 Shelbourne St","Northeast",3,1,1,0,0
2720112,"1-Oct-2023","Oct-2023",2023,"Kentucky","Lexington","100 block of N Mill St","South",0,4,0,0,1
2720910,"1-Oct-2023","Oct-2023",2023,"Ohio","Toledo","500 block of Leach St","Midwest",0,4,0,0,0
2720476,"1-Oct-2023","Oct-2023",2023,"Illinois","Chicago","50 block of S Whipple St","Midwest",2,2,0,0,0
2720136,"1-Oct-2023","Oct-2023",2023,"Nebraska","Omaha","N 24th St and Decatur St","Midwest",1,5,0,0,0
2720311,"1-Oct-2023","Oct-2023",2023,"Texas","Houston","8700 block of Cypressbrook Dr","South",2,2,0,0,1
2720526,"1-Oct-2023","Oct-2023",2023,"New Jersey","Jersey City","260 Culver Ave","Northeast",0,5,0,0,0
2720419,"30-Sep-2023","Sep-2023",2023,"Texas","Laredo","717 E Travis St","South",0,4,0,0,0
2720128,"30-Sep-2023","Sep-2023",2023,"California","San Pedro","1230 N Park Western Dr","West",1,3,0,0,0
2719793,"29-Sep-2023","Sep-2023",2023,"Louisiana","Lake Charles","2212 Broad St","South",1,3,0,0,1
2717131,"27-Sep-2023","Sep-2023",2023,"District of Columbia","Washington","2423 14th St NE","South",2,3,0,0,0
2715316,"25-Sep-2023","Sep-2023",2023,"Texas","Dallas","4800 block of Elsie Faye Heggins St","South",1,3,0,0,1
2715722,"25-Sep-2023","Sep-2023",2023,"Florida","Jacksonville","4229 Moncrief Rd W","South",0,6,0,0,0
2714225,"24-Sep-2023","Sep-2023",2023,"Oklahoma","Oklahoma City","SW 26th St and S Agnew Ave","South",0,4,0,0,0
2714677,"24-Sep-2023","Sep-2023",2023,"South Carolina","Columbia","225 Saddletrail Rd","South",3,1,0,0,3
2714319,"23-Sep-2023","Sep-2023",2023,"Florida","Jacksonville","8846 A C Skinner Pkwy","South",3,1,0,0,0
2714462,"23-Sep-2023","Sep-2023",2023,"Tennessee","Covington","2951 Hwy 51 N","South",1,4,0,0,0
2713920,"23-Sep-2023","Sep-2023",2023,"Virginia","Chesapeake","1300 block of Drayton Rd","South",1,4,0,0,0
2713404,"23-Sep-2023","Sep-2023",2023,"California","Downey","11018 Downey Ave","West",0,4,0,0,1
2714081,"23-Sep-2023","Sep-2023",2023,"District of Columbia","Washington","1360 H St NE","South",1,3,0,0,0
2713882,"22-Sep-2023","Sep-2023",2023,"Minnesota","Minneapolis","Lake St and Lyndale Ave","Midwest",0,4,0,0,0
2713409,"22-Sep-2023","Sep-2023",2023,"California","Pomona","1500 E 1st St","West",1,5,0,0,0
2710366,"18-Sep-2023","Sep-2023",2023,"North Carolina","Spring Lake","214 S 6th St","South",1,3,0,0,0
2709172,"18-Sep-2023","Sep-2023",2023,"North Carolina","Charlotte","200 block of N Tryon St","South",0,4,0,0,0
2708659,"17-Sep-2023","Sep-2023",2023,"Texas","El Paso","12300 Tierra Inca Dr","South",2,4,0,0,0
2708996,"17-Sep-2023","Sep-2023",2023,"Massachusetts","Boston","50 Ames St","Northeast",0,5,0,0,1
2709153,"17-Sep-2023","Sep-2023",2023,"Illinois","Romeoville","512 Concord Ave","Midwest",4,0,2,0,0
2708490,"16-Sep-2023","Sep-2023",2023,"Indiana","South Bend","Huron St and Philippa St","Midwest",0,4,0,0,2
2708514,"16-Sep-2023","Sep-2023",2023,"Colorado","Denver","1946 Market St","West",0,5,0,0,1
2710554,"15-Sep-2023","Sep-2023",2023,"Mississippi","Tchula","14592 Martin Luther King Dr","South",1,6,0,0,0
2706325,"13-Sep-2023","Sep-2023",2023,"Pennsylvania","Philadelphia","W York St and N Marshall St","Northeast",0,4,0,0,0
2704430,"11-Sep-2023","Sep-2023",2023,"Florida","Palm Bay","1200 Hadley Cir SE","South",0,4,0,0,0
2703680,"10-Sep-2023","Sep-2023",2023,"Michigan","Detroit","8600 block of Rosemont Ave","Midwest",2,2,0,0,0
2703436,"10-Sep-2023","Sep-2023",2023,"Indiana","Indianapolis","800 block of W 29th St","Midwest",0,5,0,0,0
2704593,"10-Sep-2023","Sep-2023",2023,"New Jersey","Jersey City","Martin Luther King Dr and Orient Ave","Northeast",0,5,0,0,0
2702902,"9-Sep-2023","Sep-2023",2023,"Illinois","Chicago","6500 block of S King Dr","Midwest",0,4,0,0,0
2703975,"9-Sep-2023","Sep-2023",2023,"South Carolina","Rock Hill","800 block of Brunswick Dr","South",0,4,0,0,2
2701771,"7-Sep-2023","Sep-2023",2023,"Texas","Dallas","5300 block of Colonial Ave","South",1,3,0,0,1
2700661,"6-Sep-2023","Sep-2023",2023,"New York","Brooklyn","56 Marcus Garvey Blvd","Northeast",0,4,0,0,3
2701037,"6-Sep-2023","Sep-2023",2023,"Mississippi","Jackson","3400 block of Lampton Ave","South",1,3,0,0,0
2701233,"6-Sep-2023","Sep-2023",2023,"Texas","El Paso (Socorro)","253 Flor Margarita Blvd","South",0,4,0,0,0
2699229,"5-Sep-2023","Sep-2023",2023,"Illinois","Chicago","4718 W Gladys Ave","Midwest",0,4,0,0,0
2699475,"4-Sep-2023","Sep-2023",2023,"Georgia","Dublin","100 block of E Jackson St","South",1,3,0,0,3
2698496,"4-Sep-2023","Sep-2023",2023,"Alabama","Birmingham","930 5th Ave N","South",2,3,0,0,0
2698171,"3-Sep-2023","Sep-2023",2023,"Georgia","Atlanta","3516 Adkins Rd NW","South",0,5,1,0,0
2698160,"3-Sep-2023","Sep-2023",2023,"Illinois","Freeport","300 block of E Pleasant St","Midwest",1,3,0,0,0
2698786,"3-Sep-2023","Sep-2023",2023,"North Carolina","High Point","2900 block of Creekview Ct","South",1,3,0,0,0
2698107,"3-Sep-2023","Sep-2023",2023,"Texas","Galveston","4002 Mendocino Dr","South",2,2,0,0,0
2697278,"2-Sep-2023","Sep-2023",2023,"Massachusetts","Lynn","189 Essex St","Northeast",2,5,0,0,0
2696484,"1-Sep-2023","Sep-2023",2023,"South Carolina","Myrtle Beach","900 block of White St","South",0,1,0,0,0
2695354,"30-Aug-2023","Aug-2023",2023,"Illinois","Peoria","2217 W Marquette Ave","Midwest",1,4,0,0,0
2695977,"30-Aug-2023","Aug-2023",2023,"Texas","Houston","2800 block of Chimney Rock Rd","South",0,4,0,0,0
2694045,"29-Aug-2023","Aug-2023",2023,"New York","Rochester","15 Savannah St","Northeast",0,4,0,0,0
2692290,"27-Aug-2023","Aug-2023",2023,"Ohio","Mansfield","137 Blymyer Ave","Midwest",1,3,0,0,2
2691802,"27-Aug-2023","Aug-2023",2023,"Kentucky","Louisville","301 Market St","South",2,4,0,0,1
2692120,"27-Aug-2023","Aug-2023",2023,"Michigan","Detroit","11644 Cloverdale St","Midwest",1,4,0,0,0
2691769,"27-Aug-2023","Aug-2023",2023,"Ohio","Cleveland","11500 block of St Mark Ave","Midwest",0,4,0,0,0
2692512,"27-Aug-2023","Aug-2023",2023,"Colorado","Pueblo","1200 block of Berwind Ave","West",1,3,0,0,0
2691275,"26-Aug-2023","Aug-2023",2023,"Utah","Orem","360 S State St","West",0,5,0,5,5
2690924,"26-Aug-2023","Aug-2023",2023,"Massachusetts","Boston","10 Talbot Ave","Northeast",0,7,0,1,3
2692026,"26-Aug-2023","Aug-2023",2023,"Mississippi","Ripley","100 block of Peacock Holler","South",0,4,0,0,1
2690914,"25-Aug-2023","Aug-2023",2023,"Florida","Tallahassee","1303 Ocala Rd","South",0,4,0,0,0
2690809,"25-Aug-2023","Aug-2023",2023,"California","Pasadena","151 E Orange Grove Blvd","West",0,5,0,0,0
2690239,"24-Aug-2023","Aug-2023",2023,"Ohio","Hartville","13305 Carnation Ave NW","Midwest",4,0,1,0,0
2688942,"23-Aug-2023","Aug-2023",2023,"California","Trabuco Canyon","19152 Santiago Canyon Rd","West",3,5,1,0,0
2688888,"23-Aug-2023","Aug-2023",2023,"Ohio","Warren (Howland)","Highlawn Ave SE","Midwest",0,4,1,0,0
2688256,"22-Aug-2023","Aug-2023",2023,"Illinois","Chicago","1521 S Trumbull Ave","Midwest",1,3,0,0,0
2686943,"21-Aug-2023","Aug-2023",2023,"Pennsylvania","Upper Darby","635 Long Lane","Northeast",1,3,0,0,0
2687693,"21-Aug-2023","Aug-2023",2023,"New York","Valley Stream","89 Ocean Ave","Northeast",1,3,0,0,3
2685998,"20-Aug-2023","Aug-2023",2023,"Washington","Seattle","2205 Rainier Ave S","West",3,6,0,0,0
2687319,"20-Aug-2023","Aug-2023",2023,"Texas","Denison","1100 block of W Owings St","South",1,3,0,0,3
2686221,"20-Aug-2023","Aug-2023",2023,"Minnesota","Minneapolis","814 E Franklin Ave","Midwest",0,8,0,0,0
